"DATA" "PLUV" "TMAX" "TMED" "TMIN" "UMID" "ANO"
"01/01/1996" 0 30.9 26.8 23.4 77.2 1996
"02/01/1996" 0 31.2 27.4 24.1 72.5 1996
"03/01/1996" 0 31.5 27.2 24.1 76.5 1996
"04/01/1996" 0.1 31.2 27.3 24.6 68.2 1996
"05/01/1996" 0 30.6 26.9 24 75.8 1996
"06/01/1996" 8.4 30.4 26.7 23.9 74.7 1996
"07/01/1996" 0 30.4 27 24.1 73.7 1996
"08/01/1996" 0 31.2 27.4 25 75.2 1996
"09/01/1996" 0.2 31.8 27.5 25.2 79.3 1996
"10/01/1996" 0 30.8 27.5 24.6 76.8 1996
"11/01/1996" 0 31.5 27.5 24.4 73.5 1996
"12/01/1996" 0 30.8 27.1 24.5 77.5 1996
"13/01/1996" 0.1 30.9 27 24.6 74 1996
"14/01/1996" 0 30.4 27.2 23.6 74.5 1996
"15/01/1996" 0 30.6 27 23.6 78.5 1996
"16/01/1996" 1.6 30.4 27 24.1 78.5 1996
"17/01/1996" 0 30.9 27.2 24.6 72 1996
"18/01/1996" 0 31.7 27.4 24.6 80.8 1996
"19/01/1996" 0 33 27.7 25 80 1996
"20/01/1996" 0.1 32.4 28.3 25.5 71 1996
"21/01/1996" 0.2 31.3 27.7 25 72.5 1996
"22/01/1996" 6.7 30.4 26.8 23.8 72.5 1996
"23/01/1996" 0.1 30 26.6 24 74 1996
"24/01/1996" 1.8 31.8 27.4 25 80.5 1996
"25/01/1996" 0.5 32.8 27.9 24.5 72.2 1996
"26/01/1996" 0.1 31.2 27.7 25.1 72 1996
"27/01/1996" 4.6 28.3 25.6 23.6 91.3 1996
"28/01/1996" 29.3 31.1 27.3 23.1 78.3 1996
"29/01/1996" 0 30.5 27.2 25 80 1996
"30/01/1996" 2.6 30.5 27.5 24.8 79 1996
"31/01/1996" 0 30.9 27.4 24.8 75.7 1996
"01/02/1996" 0 31 27.6 25 73.7 1996
"02/02/1996" 0 32 27.7 25.2 78.8 1996
"03/02/1996" 0.1 31.7 27.8 25.1 75 1996
"04/02/1996" 0 31 27.4 24.2 73.2 1996
"05/02/1996" 0 31.3 27.4 24.8 78.8 1996
"06/02/1996" 0 31.2 28 25.8 73.3 1996
"07/02/1996" 0 31.9 27.6 25 74.5 1996
"08/02/1996" 0.1 31.9 27.9 25 75.5 1996
"09/02/1996" 0 31.4 27.6 24.9 73 1996
"10/02/1996" 0 32.3 27.5 24.3 71.2 1996
