"week";"cases";"totrain";"hummed";"hummin";"tempmed";"temmax"
1;4;24,1;78,57143;69;30,82857;32,6
2;4;3,8;77,71429;74;31,41429;32,1
3;7;34;82,14286;75;30,72857;31,2
4;9;206,6;87,85714;84;28,62857;29,3
5;20;8,9;79,42857;76;30,14286;30,8
6;13;383,8;85,85714;75;27,62857;29,2
7;36;151,9;87,85714;76;27,77143;29,5
8;24;16,8;78,28571;70;27,74286;28,8
9;12;9,9;81;75;27,64286;29
10;5;62,8;87,57143;82;27,52857;27,9
11;6;90,7;84,28571;74;25,78571;27
12;11;61,8;82,71429;73;26,67143;28,2
13;14;69,6;87,42857;78;25,52857;27
14;26;25,2;85;77;26,45714;27,2
15;18;20;83,71429;78;26,61429;27,7
16;16;40;85,28571;79;26,02857;27,6
17;11;0,6;76,71429;75;26,7;27,2
18;8;44,5;78,42857;74;26,2;27,2
19;1;64;81,14286;72;25,24286;27,2
20;3;62,5;82;75;25,3;26,7
21;6;38,9;82,3;73;26,05714;26,7
22;6;15,4;82,57143;72;26,48571;27,8
23;6;23,8;81,14286;70;24,9;26
24;6;31,9;78,57143;70;26,35714;27,4
25;7;5;80,42857;73;27,72857;28,9
26;1;19,6;82;74;27,02857;28
27;7;88,2;85,71429;81;26,62857;27,8
28;4;69,1;84,85714;80;26,41429;27,6
29;20;34,5;85,14286;82;26,95714;28
30;8;73,1;86,28571;80;28,17143;29
31;4;4;79,28571;76;29;29,4
32;3;25,4;80,14286;78;28,95714;29,5
33;2;0;80,14286;77;29,5;30,6
34;1;18,4;80,57143;75;29,92857;30,6
35;0;66,1;87;78;28,31429;30
36;10;45,9;84,57143;81;29,02857;29,8
37;6;95,1;84,28571;77;29,11429;31,2
38;10;66,5;86,71429;83;28,14286;29,5
39;15;9,2;83;79;30,27143;31,3
40;2;1,1;82;77;30,94286;31,7
41;3;0;79;77;30,62857;31
42;1;0;80,71429;76;31,02857;31,5
43;3;0;78,42857;75;31,18571;32,2
44;4;10;76,57143;72;31,12857;32,1
45;4;0,1;80,28571;75;30,01429;32,1
46;4;28,2;82,28571;72;29,34286;31
47;6;46,9;82,71429;74;29,45714;30,4
48;3;38,5;81,42857;76;29,61429;30,2
49;3;108,5;89;85;27,82857;28,2
50;13;22,1;82,28571;79;29,41429;30,1
51;16;22,1;84,85714;77;29,3;30,7
52;7;95,2;86,71429;76;28,7;30,2
53;25;70;84,57143;79;29,42857;30,4
54;22;63,1;88,42857;86;27,85714;30,2
55;16;65,8;83,28571;79;29,1;29,4
56;19;9,4;80,28571;70;28,42857;29,6
57;6;38;78,71429;73;28,17143;28,8
58;8;136,5;89,14286;83;27,65714;29,3
59;7;139,8;87,85714;84;27,91429;29,8
60;25;34,7;81,57143;76;27,45714;28,6
61;15;22,4;83,42857;78;26,91429;30,2
62;17;46,1;85,57143;79;27,55714;28,4
63;19;54,7;86,14286;80;26,88571;28,6
64;9;78,4;84;78;26,2;27,4
65;19;27;88,14286;80;27,68571;30,5
66;13;14,3;84,57143;80;27,12857;27,8
67;16;25;84,14286;75;26,84286;27,7
68;8;45,4;82,85714;78;27,08571;27,5
69;3;38,8;82,71429;76;26,68571;27,6
70;5;52;79,42857;75;26,27143;26,9
71;10;23,8;78,85714;67;26,72857;27,4
72;6;46,9;82,28571;70;25,94286;28
73;10;5,2;80,14286;76;26,9;27,5
74;4;7,2;78,85714;68;25,74286;26,8
75;4;32,1;78,71429;68;25,91429;26,7
76;4;6;79,42857;76;26,38571;27,4
77;1;19,5;82,85714;72;26,3;26,8
78;2;8,4;83,28571;79;28,02857;28,9
79;3;0;81,57143;78;28,37143;28,8
80;3;1;81,28571;77;29,05714;30,1
81;5;2,6;78,57143;71;29,45714;30,4
82;1;35,4;83,14286;78;28,42857;30,1
83;2;0,1;77,28571;70;29,21429;30,3
84;0;87,8;85,28571;80;29;30,4
85;3;6,8;80,57143;74;29,68571;30,4
86;1;0;82;80;29,9;30,2
87;0;4,5;79,14286;75;30;31,5
88;1;17,2;83,28571;78;29,72857;30,6
89;1;1,1;78;75;30,9;31,3
90;1;9,2;79,28571;73;31,94286;33,1
91;2;0;78,42857;73;32;32,6
92;2;1;80,71429;80;31,62857;32,4
93;1;18,7;82;73;30,95714;32,2
94;4;0;79;75;31,61429;32,6
95;1;1;78;74;32,47143;33,3
96;0;1,5;79,71429;77;32,15714;32,8
97;2;23,5;80,85714;77;31,58571;33,2
98;3;32,3;82,28571;76;30,7;32
99;3;6,7;78,28571;74;31,7;32,6
100;4;0;78;76;32,62857;33,2
101;1;48,6;79,14286;75;30,95714;32,8
102;1;4,8;78,85714;75;31,37143;32
103;2;10,3;78,57143;75;31,41429;32,2
104;1;6;77;73;31,5;32
105;1;85,5;82,71429;75;30,97143;33,2
106;4;0,4;80,14286;75;31,32857;32,4
107;8;15,2;78,42857;75;31,44286;32,4
108;9;134;83,57143;72;29,2;30,6
109;15;0;78,57143;76;30,55714;31,4
110;5;25,3;79,28571;78;30,95714;31,8
111;6;46,6;83,42857;78;29,52857;30,2
112;3;62,1;82,71429;77;29,71429;31,2
113;7;127;85,14286;76;27,98571;30,2
114;17;26,5;83,71429;77;29,87143;31,6
115;3;35,1;82,42857;75;29,6;31,4
116;9;141,9;81,85714;73;28,9;31
