"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"2001-01";37,80492;30,1811;31,50019;36,83101;39,5259;40,93922;32,66629;35,63853;33,98993;34,17247
"2001-02";36,98209;30,54142;31,81688;36,71249;38,41424;38,34419;31,49489;34,11132;34,03349;33,42198
"2001-03";35,32547;29,79781;31,05802;35,06648;36,70606;37,32429;31,74406;33,58596;33,77801;33,70989
"2001-04";31,88613;27,42208;27,82631;31,0246;32,90715;32,88787;28,49342;29,7897;29,71654;29,40901
"2001-05";28,5498;24,9183;25,67078;27,39939;29,4279;29,59224;26,43405;27,70972;27,6193;27,56433
"2001-06";27,28176;24,17408;24,3249;27,52906;28,15334;28,45806;25,29792;26,99629;26,54994;26,90346
"2001-07";27,55165;24,2694;24,75773;27,51469;28,29845;28,37037;24,93111;26,93551;25,68796;26,17648
"2001-08";28,05454;23,43845;24,68266;28,69491;29,79061;29,53719;25,088;27,2675;27,04036;28,49093
"2001-09";30,51805;23,70656;25,20215;31,02283;31,83945;32,68747;26,57892;29,53524;28,52365;28,98452
"2001-10";33,66523;25,42847;27,35807;34,22857;35,74741;36,7306;28,14885;33,08221;31,55076;31,1586
"2001-11";35,79491;30,11269;31,18271;35,70123;36,27497;37,6664;31,85064;34,57758;33,80289;32,91907
"2001-12";35,03566;29,05563;30,00306;35,00097;36,82027;37,58701;30,26687;32,96953;32,96289;33,5805
"2002-01";28,03689;27,37383;27,83264;32,90794;32,23614;35,03728;28,55939;30,30601;29,20288;30,48885
"2002-02";34,13577;27,6781;27,61839;33,01977;35,01442;36,03954;27,7058;31,38774;29,96134;30,44784
"2002-03";36,10431;30,57432;30,96325;35,82934;37,22324;37,68314;31,62122;33,6077;33,44917;33,0186
"2002-04";32,94171;27,65744;28,57386;32,57184;34,27557;34,48828;29,28991;31,27821;30,47173;30,27975
"2002-05";28,00435;23,9354;24,4123;28,02596;29,05522;28,83742;25,41066;26,45653;26,12843;26,33332
"2002-06";27,36819;23,98952;24,64385;27,04442;28,21157;28,36754;25,08735;26,55669;25,79363;26,39994
"2002-07";24,52533;21,40691;21,37911;24,39377;25,08525;25,34432;22,18901;24,00931;23,52398;24,40316
"2002-08";28,81889;24,97853;25,98556;29,26636;30,35863;30,57442;26,47294;28,57298;27,8689;28,03126
"2002-09";29,51863;24,16912;25,13203;30,25781;31,22379;32,38208;26,07191;29,60476;28,28346;28,46779
"2002-10";34,31925;28,58643;29,66138;35,3679;36,14417;37,73205;30,52193;34,72105;33,2027;34,02634
"2002-11";36,01553;29,26707;30,25187;36,25971;38,14012;39,42604;30,85343;35,12954;33,00467;32,56777
"2002-12";35,85331;29,7895;29,90739;35,79;38,1744;38,40286;31,09717;33,66088;31,91546;31,82062
"2003-01";32,94613;29,28259;29,57758;34,35464;36,26817;37,19666;30,94672;32,31818;32,03075;32,2832
"2003-02";37,65022;31,56061;32,31017;38,02758;39,75583;40,51656;32,89632;35,71236;34,63523;34,56551
"2003-03";32,74549;26,63797;27,45281;31,77469;33,63863;34,88104;28,07896;29,75788;28,63519;29,16588
"2003-04";30,5504;26,17914;26,52646;31,1536;32,47132;32,85825;27,44652;29,40105;28,35544;28,46597
"2003-05";26,63175;23,01347;23,10282;27,16338;27,00022;28,06454;23,93049;25,57144;25,05095;26,0515
"2003-06";26,33963;23,52696;24,0054;26,85476;27,61904;28,04826;24,62781;26,51883;26,04781;26,51124
"2003-07";26,46039;23,09679;23,75873;27,06366;27,7367;28,44456;24,42564;27,16262;26,24881;26,64174
"2003-08";27,86025;23,37843;23,7659;28,32493;28,68701;29,27494;24,72366;27,3702;26,70934;27,57922
"2003-09";30,12795;25,22286;25,84798;30,36739;31,63732;32,36705;26,77267;29,81146;28,87483;28,81189
"2003-10";32,54731;26,4697;27,17336;32,09578;33,75735;34,55355;27,62656;30,90977;29,75474;29,88087
"2003-11";36,27391;29,12877;30,30522;35,33631;38,41213;39,42206;30,88699;34,3134;31,70494;30,44302
"2003-12";29,75414;29,23883;28,94011;33,0693;32,53424;36,33107;30,89639;32,22348;32,58536;31,70404
"2004-01";34,45515;27,97489;28,30614;34,03523;34,69749;35,51908;29,19482;31,05373;30,0986;30,6334
"2004-02";34,52549;28,91505;29,46669;34,36794;34,05994;36,86801;30,0852;32,33672;31,89589;31,11358
"2004-03";31,69193;26,14128;26,48738;30,85101;31,97046;33,03635;27,48094;29,63175;28,7745;29,34825
"2004-04";29,54771;25,60007;25,97552;29,1617;30,11025;31,10874;26,90169;28,5528;28,00452;28,0142
"2004-05";24,45762;20,89855;21,16474;24,07502;25,28121;25,61678;22,15051;23,6941;23,36256;23,51989
"2004-06";24,02586;20,95577;21,25008;24,50645;25,21795;25,89796;22,29395;24,23844;23,40884;23,6722
"2004-07";25,15173;22,0128;22,02301;25,33541;26,03797;26,22501;22,71808;24,50022;23,83411;24,4544
"2004-08";26,92548;22,47767;23,25168;27,46715;28,08247;28,72463;23,9016;26,53264;25,63881;26,32244
"2004-09";32,03315;26,17616;27,68006;32,36887;33,40438;34,16356;28,3549;31,56605;30,46527;30,32094
"2004-10";31,86164;24,23932;26,18842;31,91405;33,88244;33,83682;27,15972;30,85194;29,53331;29,52589
"2004-11";35,70222;28,47908;29,34882;36,02422;37,52596;38,71581;29,99172;34,09088;32,35864;31,72017
"2004-12";34,82793;26,97117;27,6353;34,26633;34,33379;36,46533;28,62729;31,41656;30,78213;30,89666
"2005-01";31,82656;27,14395;28,55591;30,96476;31,02821;34,63997;29,19222;31,03559;30,97021;30,11178
"2005-02";31,13537;27,07944;26,32872;31,94884;32,95273;34,92114;27,83774;29,93676;28,6595;29,05678
"2005-03";32,43715;27,41623;27,83448;32,00414;32,89376;34,64315;27,84843;30,61032;29,23154;29,62005
"2005-04";30,12894;25,68914;25,7728;30,74505;31,28829;31,66261;27,0062;29,01199;27,71957;27,90954
"2005-05";28,26718;24,37538;24,90497;28,48599;28,96105;29,86472;25,34668;27,28285;26,15757;26,58247
"2005-06";26,44511;23,05472;23,63198;26,80738;27,75979;28,33245;24,31597;25,95151;25,23687;25,69909
"2005-07";25,85493;22,54351;23,18331;26,43265;27,05014;27,1883;23,88835;25,58777;24,57931;24,74958
"2005-08";29,15563;25,05049;25,86984;29,65667;30,6849;31,18118;26,56787;29,38839;28,02474;28,22484
"2005-09";29,76585;24,11976;24,71409;30,15779;31,77763;31,88001;25,83357;29,25171;27,73829;28,22312
"2005-10";33,22333;28,22323;29,08381;34,34253;35,58021;37,2875;29,92131;33,86653;32,29188;32,38449
"2005-11";30,87846;25,58588;26,09687;32,87803;32,02171;34,61797;27,33175;30,94095;29,07849;28,37615
"2005-12";31,96655;27,23095;28,01101;32,46467;33,87121;34,67937;28,46596;31,21709;29,77488;30,26426
"2006-01";36,47129;29,73875;30,83199;37,06846;38,57461;39,12412;30,72463;33,59329;33,53688;32,48805
"2006-02";35,76761;28,64669;29,16729;34,51552;37,54353;38,45461;29,75702;33,71953;31,27595;30,2275
"2006-03";31,46722;26,41143;27,63007;32,3313;34,02076;34,99268;28,02815;30,75991;30,25327;30,69098
"2006-04";29,9566;25,03934;25,56259;30,12339;31,10742;31,46702;26,12806;28,43928;27,87015;27,70882
"2006-05";27,51724;23,06178;23,72773;27,32429;27,65127;28,32865;23,57296;26,16087;24,24166;24,87043
"2006-06";25,22331;21,95759;22,07462;25,78041;26,16763;26,71969;22,82116;24,73596;24,0979;24,68196
"2006-07";25,75719;22,43039;23,00612;26,25762;27,17285;27,83577;23,58501;26,09896;25,24896;25,84309
"2006-08";29,03088;24,75415;25,68366;29,47576;30,85341;31,48632;26,10913;29,24569;27,75471;28,06155
"2006-09";31,03519;25,34411;26,50036;30,9003;32,95965;33,07653;27,18747;30,23131;28,95381;29,27631
"2006-10";31,94658;26,04349;27,00542;31,95774;32,93761;34,41362;27,1049;30,86518;28,9928;29,65243
"2006-11";31,2964;28,11419;27,83833;32,27029;32,46792;33,36966;29,1941;30,38361;30,72535;30,63329
"2006-12";34,24401;28,73622;29,66213;34,46386;35,31956;35,81049;30,79258;32,44887;33,23924;33,20892
"2007-01";30,87054;27,36393;27,65646;30,89246;31,60913;34,24453;28,18764;30,42563;31,17771;30,12766
"2007-02";35,60103;29,36623;30,48087;35,4451;37,80391;38,19259;30,89295;33,55933;32,53343;32,25285
"2007-03";35,32576;29,87685;30,77543;35,74499;37,10791;37,69316;31,33055;34,22007;32,90163;33,56481
"2007-04";31,64116;26,3376;27,37665;31,79496;32,9393;33,06268;27,92679;30,08135;29,4721;30,13924
"2007-05";26,5812;23,00506;23,51487;26,72019;27,55033;27,69456;23,96411;25,50459;24,98075;25,68218
"2007-06";25,26464;22,12014;22,45486;25,34225;26,12304;26,71424;23,00636;24,94485;24,16481;24,06056
"2007-07";25,86873;22,34703;22,9704;25,92765;26,9297;27,02696;23,00001;24,87851;24,47443;24,53546
"2007-08";27,56741;23,39932;24,10884;28,15455;28,96765;29,77708;24,85433;27,57215;26,59718;26,8143
"2007-09";31,55291;26,02257;27,09961;32,43569;33,32166;34,60688;27,95437;32,36388;30,93105;30,89574
"2007-10";33,09435;26,89631;28,40171;33,88315;35,42759;36,55465;29,4625;33,79086;32,48874;32,72894
"2007-11";34,12262;27,09741;26,82021;32,44924;33,55127;35,08178;29,22139;32,11608;28,74431;28,26974
"2007-12";35,36257;29,56148;30,58266;35,46533;37,80666;38,97603;30,86822;33,92576;32,80048;32,34043
"2008-01";35,77649;29,86425;30,01559;35,34372;38,4256;40,21928;30,69199;32,73825;32,37761;31,32428
"2008-02";32,71721;28,16288;29,02549;32,00267;32,79915;34,76316;29,25126;31,24809;30,73409;30,88404
"2008-03";32,28677;26,92354;27,34505;31,74454;33,00532;33,35955;28,14292;30,38842;29,99057;30,20596
"2008-04";29,96039;26,13831;26,50141;29,0621;31,26748;31,38573;27,26566;28,60892;27,82265;27,71251
"2008-05";26,82492;23,25034;23,53309;26,73809;27,75036;28,30878;24,15057;26,00571;25,31763;25,7534
"2008-06";25,07967;21,9535;22,31032;25,52805;25,74019;26,80232;23,18467;24,69638;24,36508;24,99789
"2008-07";25,64092;22,47124;22,88848;25,63923;26,60905;27,01272;23,33572;25,28016;24,40013;24,80323
"2008-08";28,70651;24,41548;25,54603;28,71949;30,11695;30,71714;26,02044;28,60905;27,42084;27,16488
"2008-09";29,36499;24,28186;24,84311;29,7672;30,25356;31,12932;25,19964;27,79047;26,85886;27,29052
"2008-10";29,09174;24,18871;25,43247;30,27904;31,13738;32,14722;27,24747;30,49169;29,41889;30,27277
"2008-11";30,48751;25,91948;26,32295;31,22402;32,15393;33,15701;27,73072;30,4208;29,88486;29,31365
"2008-12";35,44906;27,6025;29,37577;32,98849;37,15324;37,67308;29,88084;33,99456;31,9204;31,725
"2009-01";35,45448;28,30142;28,44871;34,90636;35,19794;38,13242;28,84614;31,42925;31,02504;31,37925
"2009-02";35,19124;28,71187;29,18492;34,51243;36,21832;36,81688;29,6401;32,1647;31,27491;31,57952
"2009-03";33,79777;27,13028;28,48799;32,4051;35,36305;33,73698;28,63123;29,58865;30,68365;30,41195
"2009-04";28,98833;24,73441;25,20445;29,0672;29,75059;30,26015;26,29499;27,36918;27,17224;28,10994
"2009-05";28,38043;24,7106;25,07655;28,37251;29,53145;29,75832;25,73407;27,26727;26,65244;26,777
"2009-06";24,93458;21,81315;21,7425;24,82092;25,67886;26,08348;22,70561;24,15885;23,6286;24,06423
"2009-07";24,8269;21,71373;22,18762;24,17071;25,53639;25,69382;22,74419;24,11426;23,99684;23,98346
"2009-08";27,20675;23,52609;24,30567;26,98552;28,53209;29,36792;24,84001;27,16945;25,98131;25,97213
"2009-09";31,32871;26,34591;27,28812;31,4637;32,61822;33,38025;26,97147;29,80139;28,63311;28,67548
"2009-10";32,31423;25,23263;26,46003;32,18409;34,39237;34,95968;26,10251;29,23339;28,07768;28,01582
"2009-11";36,38987;29,88245;30,67713;36,26279;38,50085;39,09509;31,25366;34,47709;32,72108;32,1768
"2009-12";29,57077;25,87341;27,00766;31,5104;31,40756;35,17334;28,25817;30,95844;30,61979;29,97023
"2010-01";35,76661;30,16258;30,45162;36,03302;36,6003;37,81891;31,46835;34,20362;33,01343;32,91217
"2010-02";37,80181;31,64161;32,69361;38,33229;40,02105;41,33737;33,5202;36,42389;35,38416;34,59138
"2010-03";33,62245;28,42305;29,45228;32,82743;34,57149;34,7387;29,28115;31,78998;31,44053;31,2626
"2010-04";29,57091;25,15555;25,48462;28,92621;29,70369;30,42804;26,37113;27,82119;26,84935;27,02182
"2010-05";25,02412;21,71551;21,91893;25,12515;26,26588;26,79231;23,34571;24,40715;23,82739;24,54821
"2010-06";24,41618;21,37111;21,82035;24,3151;25,30366;25,88459;22,76266;24,16011;23,49567;23,96502
"2010-07";27,16747;23,20543;23,76126;27,28776;28,35728;28,45655;24,40968;26,58293;25,52837;25,56319
"2010-08";28,15522;23,94742;24,72008;28,62029;29,37294;29,83923;25,13775;27,54291;26,74556;26,68244
"2010-09";31,48974;26,31588;27,32363;32,17273;33,17186;34,09799;28,20733;31,95373;30,64923;29,82338
"2010-10";33,05133;26,79891;27,66476;32,04132;33,38933;34,12026;27,17596;30,61037;29,06505;28,65946
"2010-11";33,47582;26,90993;27,8726;33,30478;33,99953;35,38377;29,08464;32,27358;31,0064;30,92434
"2010-12";36,13729;28,86352;29,86589;35,13083;37,23025;37,54061;30,32413;32,87727;31,83908;32,26111
"2011-01";36,88075;28,4194;30,85308;37,202;37,89986;39,81679;31,55342;34,79799;33,79742;33,43133
"2011-02";37,13256;30,73738;31,37722;37,86622;39,55857;41,02304;32,81034;36,45596;36,26177;36,22185
"2011-03";30,90901;25,21376;26,62295;30,17601;31,95053;33,15446;27,92385;30,20557;29,67456;29,09793
"2011-04";30,31569;25,30764;25,95055;30,50752;31,88794;31,76606;26,72428;28,91236;27,80861;28,68245
"2011-05";25,7749;22,60684;23,20271;25,37372;27,12715;27,66761;23,90039;25,31896;24,91633;25,28168
"2011-06";23,10775;19,95215;20,05075;23,67166;23,73179;24,57618;21,04962;22,37428;21,67291;22,55776
"2011-07";25,12604;21,73173;22,33027;25,37305;26,24685;26,56917;22,52116;24,32111;24,00354;24,65734
"2011-08";28,43933;23,91859;25,0144;29,00993;30,63104;31,64212;25,69087;29,45614;28,31034;28,27465
"2011-09";30,12937;24,62414;25,61097;31,1948;31,98896;33,14764;26,30793;30,75564;29,4736;30,01581
"2011-10";33,11781;26,41589;27,75256;33,38906;34,7838;36,00887;28,84733;32,43905;31,30162;31,98797
"2011-11";33,63612;26,9406;28,29;33,87901;34,77205;36,83575;29,41635;33,10728;31,96947;32,25734
"2011-12";35,36766;29,60383;31,09022;35,8977;38,65051;40,19694;31,47935;35,66632;33,87214;33,37653
"2012-01";35,33094;28,69212;29,48452;34,49443;35,38093;36,76169;30,63485;32,98644;32,02668;31,41687
"2012-02";36,2893;29,40334;30,58189;36,0769;37,81991;39,10649;30,99854;34,85347;32,91206;32,9518
"2012-03";33,35396;27,96116;28,78819;33,20428;34,87206;36,16559;29,51137;32,12197;31,35573;31,71883
"2012-04";29,75486;25,19172;25,55586;29,88926;30,30304;31,71746;26,38244;28,48518;27,42998;27,86966
"2012-05";25,77151;22,38268;22,97129;25,78589;26,70722;26,8298;23,58523;24,95562;24,71763;25,03272
"2012-06";25,42883;22,88493;22,7511;25,71869;26,32836;27,11366;23,36656;24,693;23,83314;24,86764
"2012-07";26,30155;22,35403;23,20272;26,30523;26,42197;26,96516;23,20915;24,85028;24,07202;25,27006
"2012-08";27,85268;23,31921;23,95255;28,60279;29,25249;30,31974;25,16462;27,7427;26,82291;27,50386
"2012-09";31,14367;25,44942;26,98239;31,83575;33,30078;34,33258;27,01053;30,80618;28,69827;29,21501
"2012-10";32,98457;27,12633;28,72662;33,71543;34,90475;35,62132;29,39455;32,31404;31,30844;31,4995
"2012-11";32,94476;27,52405;28,65997;32,92962;33,36654;32,75445;28,05811;30,60124;30,67725;30,54644
"2012-12";35,71699;30,92052;31,77464;37,03827;37,34754;40,76512;32,98198;36,05414;35,92993;35,85618
"2013-01";25,34102;26,72875;25,90467;30,73936;31,23167;33,30546;29,04276;31,76875;31,16589;30,80424
"2013-02";34,35592;28,48443;29,85804;34,45491;34,70629;37,55017;30,45531;32,49858;32,39378;32,06182
"2013-03";28,74398;25,28306;25,88031;29,44827;29,58251;30,15176;27,67164;28,50767;27,88176;27,54631
"2013-04";27,66847;24,40053;24,33935;28,51558;28,70164;29,77755;25,41596;26,86017;26,33749;27,10153
"2013-05";26,53724;23,20287;23,38785;26,59114;27,50409;27,98712;24,20974;25,85115;25,28338;25,65767
