"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"2001-01";24,22144;23,19191;23,1375;23,82096;24,47667;24,02046;23,21722;23,68855;23,33507;23,70857
"2001-02";26,12253;24,01574;23,70275;25,66844;26,40252;25,8333;23,53014;24,05985;23,47;23,47425
"2001-03";25,60711;24,00487;23,74997;24,86659;26,00451;25,58;23,45438;24,2529;23,71052;23,75764
"2001-04";23,61366;22,76632;22,2555;23,96281;23,51445;23,92087;22,0477;22,13541;21,73362;20,59865
"2001-05";21,3895;20,16837;19,37308;20,62787;20,59656;20,83351;19,32021;19,54314;19,46;19,41967
"2001-06";21,46638;20,79581;20,32273;21,21846;21,6196;21,20285;19,85799;20,12542;19,32767;19,19921
"2001-07";20,33649;20,12866;19,66311;20,03897;20,55613;20,10154;19,11741;19,4466;18,8294;18,20158
"2001-08";20,35083;19,51304;19,05314;20,16902;20,66446;20,04899;18,59922;18,48941;17,84627;17,9006
"2001-09";19,41829;18,53316;18,28508;19,36211;19,65499;19,68981;18,36624;18,80103;18,54628;18,6151
"2001-10";19,59887;18,24504;18,25736;19,67141;20,11026;19,77369;17,76303;18,63138;17,84447;17,76084
"2001-11";22,58255;20,7695;21,48714;22,35812;22,88985;23,57101;21,09761;21,96821;20,71983;20,23622
"2001-12";22,31207;20,55334;20,963;21,45077;21,97011;21,70344;20,69356;21,51941;20,60164;20,63007
"2002-01";24,74642;22,47637;23,3605;23,78209;25,01095;24,0287;22,62121;22,76686;21,35401;22,31193
"2002-02";23,62752;22,17631;21,76129;22,87372;23,55841;22,6365;21,40676;21,16054;21,36918;21,97258
"2002-03";25,17503;23,78865;23,49182;25,04717;25,37538;25,24064;23,30127;23,7634;23,2128;23,40771
"2002-04";23,93733;22,69516;22,63167;23,81759;24,1158;24,29051;22,11154;22,80069;22,22695;22,22012
"2002-05";21,21486;20,48435;20,05099;20,60021;20,63114;20,16724;19,67597;19,98444;19,57461;19,42009
"2002-06";20,89835;20,335;19,88672;20,60791;20,99946;20,88338;19,37201;19,7354;19,05698;18,82867
"2002-07";19,1371;18,20344;18,53837;19,10273;19,84393;19,62492;18,05897;18,57274;17,99108;17,44488
"2002-08";20,85651;19,81226;19,85274;20,71813;20,93985;21,02057;19,20377;19,66273;19,02966;18,22071
"2002-09";19,37951;18,59493;18,20057;19,77738;19,52863;20,05493;18,05414;18,6282;18,03424;17,93755
"2002-10";23,61599;22,4404;22,55382;23,29906;23,86551;23,24602;21,31525;21,79948;21,1991;21,19711
"2002-11";21,91364;21,0212;21,57588;21,95764;22,84542;21,34704;20,55443;21,3637;20,14265;19,64249
"2002-12";22,21969;20,5295;20,43335;22,19977;22,10699;22,02838;20,28895;21,55728;20,99489;21,4666
"2003-01";25,2082;23,14852;22,35065;24,0608;25,33885;25,693;23,13243;24,0647;23,58027;23,72244
"2003-02";26,47128;24,71506;24,64579;26,12411;26,44549;26,45269;24,30973;25,02281;24,24049;24,18291
"2003-03";24,71154;23,31507;23,14793;24,37281;24,98174;24,95382;23,04962;23,71178;23,11497;22,84878
"2003-04";22,70891;21,95923;21,46185;22,96916;23,25555;22,90829;21,39755;21,41223;20,93253;21,64974
"2003-05";19,26503;18,79045;17,98822;19,17778;19,40324;19,08301;18,16053;18,01844;17,83058;17,4809
"2003-06";19,41841;19,2741;18,8271;19,67291;19,47059;19,37383;18,41266;18,40833;18,24888;18,15472
"2003-07";18,87536;18,39244;17,88815;18,49115;18,67082;18,59594;17,47646;17,66725;17,25769;16,68503
