"x" "y" "ovos"
"H01" 678386 7469204 7204
"H03" 678600 7469638 8349
"H04" 678429 7469610 6508
"H05" 678365.02 7469412.45 2922
"H07" 678449.09 7469354.29 8672
"H08" 678494 7469656 4058
"H09" 678479 7469546 2080
"H10" 678293 7469660 7992
"H12" 678442.29 7469272.17 8639
"H14" 678293 7469254 2497
"H17" 678589.08 7469468.3 5172
"H18" 678337 7469610 10179
"H25" 678406 7469156 6309
"H28" 678196.05 7469378.31 12655
"H29" 678633.47 7469095.2 4223
"H30" 678642 7469498 3997
"H34" 678500.39 7469631.96 3429
"H43" 678564.55 7469028.11 9402
"H48" 678482.46 7469554.34 7994
"H50" 678661 7469459 3059
"H51" 677981.84 7469428.46 7235
"H52" 678632.23 7469672.08 7026
"H53" 678325 7469173 6928
"H55" 678052.97 7469334.1 7090
"H56" 678507.4 7469489.2 4848
"H57" 678371.86 7469573.06 9184
"H58" 678044.11 7469403.13 2647
"H60" 678662 7469453 8351
"H61" 678605.23 7469232.13 3564
"H66" 678427.28 7469490.65 4015
"H68" 678674 7469413 7691
"H70" 678182 7469510 909
"H71" 678613.67 7469382.24 6818
"H73" 677963 7469433 5962
"H74" 678222.28 7469455.13 4144
"H75" 678725.11 7469113.24 7944
"H76" 678302 7469589 7121
"H77" 678611.5 7469408.2 8376
"H78" 678156.92 7469295.8 2029
"H79" 677976.67 7469434.06 3787
