"ET_X" "ET_Y"
"1" 678278.0905 7469699.579
"2" 678393.3598 7469704.484
"3" 678530.7018 7469711.842
"4" 678653.3287 7469704.484
"5" 678685.2117 7469667.696
"6" 678692.5693 7469589.215
"7" 678717.0946 7469535.259
"8" 678766.1454 7469424.895
"9" 678761.2403 7469393.012
"10" 678702.3794 7469370.939
"11" 678680.3066 7469339.056
"12" 678709.737 7469258.122
"13" 678741.62 7469137.948
"14" 678810.2911 7469015.321
"15" 678763.6928 7468980.986
"16" 678721.9997 7469037.394
"17" 678645.9711 7469005.511
"18" 678547.8696 7468990.796
"19" 678525.7968 7469044.751
"20" 678542.9645 7469091.35
"21" 678523.3442 7469133.043
"22" 678474.2935 7469120.78
"23" 678432.6004 7469074.182
"24" 678383.5496 7469071.729
"25" 678329.5938 7469091.35
"26" 678285.4481 7469160.021
"27" 678256.0177 7469243.407
"28" 678231.4923 7469272.837
"29" 678153.0111 7469255.67
"30" 678054.9097 7469226.239
"31" 677991.1437 7469209.071
"32" 677976.4285 7469260.575
"33" 677986.2386 7469321.888
"34" 677961.7133 7469378.297
"35" 677924.9252 7469422.442
"36" 677912.6625 7469454.325
"37" 677966.6183 7469483.756
"38" 678045.0995 7469508.281
"39" 678135.8434 7469537.711
"40" 678209.4195 7469552.427
"41" 678265.8278 7469564.689
"42" 678263.3753 7469626.003
"43" 678258.4702 7469687.316
