"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"1981-01";137,5329;132,4121;145,2403;107,1422;111,2018;121,7769;138,0529;156,9284;156,3373;182,7727
"1981-02";67,40182;51,25374;60,68622;55,08186;57,27369;47,41988;40,97253;43,54772;33,79413;38,56008
"1981-03";112,6344;94,21825;121,8632;94,15257;109,6843;101,2072;137,3428;137,5811;136,8517;146,5766
"1981-04";127,5101;100,8766;159,7257;86,00473;130,9682;110,009;143,9678;147,5254;146,0902;170,5956
"1981-05";38,57695;24,25884;32,06544;24,677;24,89841;24,0781;32,52023;33,81942;31,44662;30,39743
"1981-06";95,186;63,01022;94,83905;47,71822;70,93925;45,11211;50,72661;42,86749;34,37727;32,49289
"1981-07";85,37449;54,52515;78,76067;34,33874;61,60163;38,17963;54,59042;50,67736;43,90187;40,35146
"1981-08";88,68024;55,97728;85,68397;48,10892;65,98164;46,68236;59,73453;57,86822;52,35967;50,22124
"1981-09";21,53574;15,82687;23,7992;19,99791;24,64185;23,36521;26,01018;21,72416;23,73188;21,40655
"1981-10";99,30021;82,31654;94,03246;70,22688;76,61126;76,70044;93,16444;79,13123;81,72916;82,20012
"1981-11";186,4904;174,4069;188,3838;109,6723;142,388;112,8186;128,8771;123,1249;102,3654;105,0263
"1981-12";320,9631;315,5454;339,4675;222,1136;275,1057;239,4233;288,0836;283,097;249,7653;237,0618
"1982-01";266,7041;280,2347;283,5045;178,9583;206,978;200,9808;241,5919;244,2271;262,8462;288,881
"1982-02";97,74487;86,13268;98,80547;81,30932;83,38966;72,25626;69,79702;71,08465;57,82297;53,03802
"1982-03";158,3663;127,5094;159,9293;137,1451;138,8228;128,6966;134,6665;153,8842;122,6857;138,0244
"1982-04";106,0903;79,11861;109,2159;71,68667;95,45647;74,90444;100,8125;95,12057;96,96245;82,05899
"1982-05";49,69838;36,09018;59,46144;25,76093;49,29258;33,02489;47,21526;48,06338;42,77296;38,02951
"1982-06";55,14725;36,89117;57,86218;28,999;45,07903;33,26562;47,38506;41,98158;49,76308;50,34936
"1982-07";77,64351;49,30974;65,68673;32,09571;50,45237;38,04618;56,18195;54,78306;47,32611;41,41471
"1982-08";78,00072;43,2527;60,45277;40,05915;48,78627;38,27646;56,79134;54,83033;58,19881;59,10746
"1982-09";52,78359;38,43615;50,92303;37,37362;42,3593;45,01286;45,90854;43,05437;35,60598;38,09967
"1982-10";173,2476;142,2502;167,9061;122,3668;139,0007;115,3369;113,6319;101,9682;98,41981;89,85011
"1982-11";96,23219;95,83183;114,6981;64,96976;94,87808;80,30824;89,61521;95,00677;85,67187;89,71725
"1982-12";282,171;275,3732;295,5618;192,473;253,5946;214,345;281,0121;307,2198;320,3078;342,6303
"1983-01";127,4783;117,5115;137,2852;101,6175;116,7339;125,7987;136,9423;166,2635;155,1628;188,9192
"1983-02";67,90563;57,27946;76,68325;73,0757;72,1098;73,17932;79,09142;86,37256;88,47698;71,34161
"1983-03";367,4756;321,8974;393,8393;304,5826;327,9407;301,1962;315,1642;332,4594;284,3871;271,0235
"1983-04";136,9222;113,9126;146,5908;93,542;115,0903;93,85217;125,9335;122,7468;127,4329;137,5231
"1983-05";141,6818;102,1368;143,1457;82,70872;103,8301;81,49594;108,6887;102,3903;103,1544;91,74101
"1983-06";120,8778;73,65108;123,5865;84,91821;111,152;76,92653;122,0338;122,0462;106,0191;96,98763
"1983-07";77,37908;53,97519;83,3646;43,09562;69,54243;53,23869;70,10061;73,73268;63,01019;62,9353
"1983-08";59,95732;37,76736;56,5016;35,20348;43,89588;33,85003;41,0928;40,26587;34,44461;29,33634
"1983-09";281,4731;200,9128;278,5994;188,4899;226,4362;188,3576;205,89;175,2372;194,4052;189,518
"1983-10";146,7058;118,1406;143,0212;110,757;124,9024;106,44;112,8928;94,28386;94,74973;110,0499
"1983-11";149,4329;135,9756;158,5408;99,28502;135,8559;115,2255;129,912;145,7285;128,9047;116,1266
"1983-12";150,2557;158,8542;180,432;126,177;158,8928;148,5334;182,5381;186,6187;178,6695;204,3056
"1984-01";105,7776;102,2949;112,4676;86,4211;92,53482;88,80581;94,80353;102,6435;93,66077;105,4856
"1984-02";19,9238;16,76168;19,4255;19,66232;16,20273;14,48197;17,21038;17,34873;15,0896;14,99563
"1984-03";83,68613;74,9201;95,03361;75,99754;84,70238;82,64646;108,6534;126,2062;121,8429;109,5343
"1984-04";112,3598;97,45342;120,9435;65,3615;84,22864;68,70006;108,1339;85,98306;93,89268;117,5666
"1984-05";87,4744;63,35232;92,11303;53,48018;64,96625;56,19862;78,58389;86,67323;80,9922;70,59618
"1984-06";37,38326;23,80188;37,61655;18,79188;28,40011;19,25322;24,93567;24,81894;23,56271;20,06782
"1984-07";52,48043;36,84629;52,93142;23,81433;37,88506;25,4597;37,99725;32,69558;29,94622;28,51485
