"latitude" "longitude" "temperatura"
"1" 230 32.5 18.99079
"2" 230.5 32.5 19.07272
"3" 231 32.5 18.95859
"4" 231.5 32.5 18.86862
"5" 232 32.5 18.6154
"6" 232.5 32.5 17.78185
"7" 233 32.5 17.19703
"8" 233.5 32.5 17.35674
"9" 234 32.5 17.6695
"10" 234.5 32.5 18.09787
"11" 230 33 18.88156
"12" 230.5 33 18.80708
"13" 231 33 18.79423
"14" 231.5 33 18.59443
"15" 232 33 18.3428
"16" 232.5 33 17.47713
"17" 233 33 17.12954
"18" 233.5 33 16.80153
"19" 234 33 17.33549
"20" 234.5 33 17.87594
"21" 230 33.5 18.44125
"22" 230.5 33.5 18.36399
"23" 231 33.5 18.11351
"24" 231.5 33.5 18.30865
"25" 232 33.5 18.00469
"26" 232.5 33.5 17.55566
"27" 233 33.5 17.12974
"28" 233.5 33.5 16.60351
"29" 234 33.5 16.78725
"30" 234.5 33.5 17.05065
"31" 230 34 18.2511
"32" 230.5 34 18.24769
"33" 231 34 18.07569
"34" 231.5 34 18.09225
"35" 232 34 17.7875
"36" 232.5 34 17.01786
"37" 233 34 16.99653
"38" 233.5 34 16.42803
"39" 234 34 16.60524
"40" 234.5 34 16.50572
