"";"arx";"ary"
"1";18011;166411
"2";18979;167665
"3";18575;167384
"4";18575;167384
"5";17833;167214
"6";18782;167849
"7";18393;167834
"8";17917;167527
"9";17686;167111
"10";17720;167611
"11";18571;167462
"12";18597;166240
"13";17808;167130
"14";18109;167082
"15";18492;167654
"16";18044;168220
"17";18120;167695
"18";18031;167487
"19";17900;166625
"20";17807;167355
"21";17794;167412
"22";18620;167727
"23";18410;166723
"24";18464;167504
"25";18192;167714
"26";18984;166790
"27";19051;168014
"28";18510;167492
"29";17885;167515
"30";18736;167613
"31";18588;168038
"32";18586;167621
"33";17799;167589
"34";18693;167569
"35";18107;168242
"36";18404;167345
"37";18166;165891
"38";19289;165490
"39";19101;167955
"40";18689;168187
"41";18608;167643
"42";17867;167102
"43";18202;167272
"44";18503;167627
"45";19019;166592
"46";18608;167573
"47";19050;168087
"48";18025;167465
"49";18127;167421
"50";18840;167005
"51";18692;167546
"52";18347;167087
"53";17852;167616
"54";18107;167158
"55";17936;166741
"56";17660;166955
"57";18554;167230
"58";18033;168178
"59";18399;167358
"60";18120;168211
"61";18141;168205
"62";17976;167631
"63";18332;167814
"64";18728;166949
"65";17831;167595
"66";17562;166695
"67";18968;168042
"68";17732;167614
"69";18038;167416
"70";18497;167998
"71";17730;166815
"72";18086;168178
"73";17951;167574
"74";18335;167884
"75";18488;167835
"76";18370;167640
"77";18224;167659
"78";18224;167659
"79";18592;166253
"80";18778;167946
"81";17905;167118
"82";18170;168215
"83";18187;167262
"84";18905;167746
"85";18007;167324
"86";18667;166243
"87";17862;167179
"88";18330;167559
"89";18539;167369
"90";18580;167694
"91";18716;166189
"92";18111;167927
"93";18500;167807
"94";17813;165921
"95";19041;167845
"96";17801;167349
"97";17902;166618
"98";18979;168040
"99";17850;166785
"100";18438;167649
"101";18060;166291
"102";18060;166291
"103";18726;166950
"104";19121;168033
"105";17964;167206
"106";18298;166725
"107";18891;167805
"108";18491;167506
"109";18878;167598
"110";18769;167465
"111";17975;167521
"112";17975;167521
"113";18691;167460
"114";18587;167334
"115";17916;167024
"116";18626;167355
"117";18359;167904
"118";18803;168204
"119";18587;167636
"120";17915;167529
"121";19080;167944
"122";17915;166293
"123";18120;166464
"124";18543;166176
"125";18905;167630
"126";18866;167774
"127";18322;167176
"128";17847;167476
"129";17925;166537
"130";18499;167608
"131";18756;167031
"132";18013;166539
"133";18309;166973
"134";18528;167932
"135";18129;167203
"136";18153;167985
"137";18127;167543
"138";18450;167244
"139";18852;167814
"140";18285;167847
"141";17918;167008
"142";17918;167008
"143";17769;166966
"144";18777;167941
"145";18063;166292
"146";18437;167603
"147";17697;167603
"148";17668;167136
"149";18708;168226
"150";18589;167482
"151";17789;167025
"152";18631;166241
"153";18118;168070
"154";18732;167876
"155";18291;168264
"156";18901;167804
"157";18176;167387
"158";18172;167459
"159";18901;167804
"160";17794;167179
"161";18737;166949
"162";18894;167805
"163";18176;167386
"164";18211;167604
"165";17911;166370
"166";18403;167125
"167";18605;167371
"168";18106;168236
"169";17739;167595
"170";17821;167646
"171";18296;166009
"172";18051;167741
"173";18946;167860
"174";19143;165342
"175";18735;167142
"176";18243;167846
"177";18243;167846
"178";18950;167705
"179";18067;167316
"180";18045;167356
"181";18098;167772
"182";18438;167857
"183";18587;167334
"184";17875;166799
"185";17817;167547
"186";18810;167131
"187";18151;167128
"188";18665;167867
"189";18344;167197
"190";18891;167792
"191";19085;168059
"192";17846;167515
"193";18745;167541
"194";17969;166614
"195";18555;167393
"196";17623;167092
"197";17628;167092
"198";17931;167102
"199";18524;167429
"200";18265;167599
"201";19133;168035
"202";17833;167640
"203";17989;167648
"204";17947;167510
"205";18729;167068
"206";18149;167275
"207";18137;167460
"208";18363;167296
"209";18414;167235
"210";18029;167077
"211";18414;167235
"212";18762;167804
"213";18046;167002
"214";17652;166880
"215";18064;167562
"216";18163;167294
"217";18397;167555
"218";18068;167246
"219";18987;166657
"220";18717;167698
"221";18793;166667
"222";18791;168050
"223";18113;167687
"224";17934;167722
"225";18250;167181
"226";17772;167133
"227";19082;167896
"228";18100;167546
"229";18614;166303
"230";18498;167661
"231";17631;167075
"232";17759;166919
"233";17725;166827
"234";18541;167623
"235";19034;167637
"236";17965;167504
"237";17801;167345
"238";17848;166650
"239";18859;166839
"240";18032;166357
"241";18751;167466
"242";18737;168111
"243";17793;167454
"244";18643;167032
"245";18221;167280
"246";17926;167690
"247";17989;167806
"248";18802;167549
"249";18037;167673
"250";19017;166675
"251";18060;167455
"252";18508;167627
"253";18429;167199
"254";17608;166758
"255";18817;167561
"256";17837;166443
"257";18163;167281
"258";18999;168029
"259";18046;167553
"260";18480;167320
"261";18634;166321
"262";18702;168061
"263";18528;167938
"264";17952;167446
"265";18988;168087
"266";17865;167039
"267";18984;168018
"268";18735;167142
"269";18403;167224
"270";18791;168050
"271";18726;166950
"272";17579;166783
"273";18982;166620
"274";18477;167144
